country,province,area_id,latitude,longitude,population,lockdown,colour
United Kingdom,Wales,253,51.5,-3.21666666667,3139000,2020-03-24,#bb0335
United Kingdom,,254,55.0,-3.0,66435600,2020-03-24,#ff2222
Uruguay,,255,-32.5228,-55.7658,3518552,,#004f2b
US,Alabama,256,32.3182,-86.9023,4903185,,#283823
US,Alaska,257,61.3707,-152.4044,731545,,#b76e79
US,American Samoa,258,-14.271,-170.1322,55641,,#f2ccc2
US,Arizona,259,33.7298,-111.4312,7278717,,#f2ccc2
US,Arkansas,260,34.9697,-92.3731,3017825,,#c2a4c2
US,California,261,36.1162,-119.6816,39512223,,#011c3b
US,Colorado,262,39.0598,-105.3111,5758736,,#8400ff
US,Connecticut,263,41.5978,-72.7554,3565287,,#ff8f43
US,Delaware,264,39.3185,-75.5071,973764,,#ff9797
US,District of Columbia,265,38.8974,-77.0268,705749,,#de2f51
US,Florida,266,27.7663,-81.6868,21477737,,#42284b
US,Georgia,267,33.0406,-83.6431,10617423,,#779c74
US,Guam,268,13.4443,144.7937,165718,,#00ffab
US,Hawaii,269,21.0943,-157.4983,1415872,,#244c66
US,Idaho,270,44.2405,-114.4788,1787147,,#204c39
US,Illinois,271,40.3495,-88.9861,12671821,,#295f48
US,Indiana,272,39.8494,-86.2583,6732219,,#18392b
US,Iowa,273,42.0115,-93.2105,3155070,,#702963
US,Kansas,274,38.5266,-96.7265,2913314,,#00ecff
US,Kentucky,275,37.6681,-84.6701,4467673,,#a9eede
US,Louisiana,276,31.1695,-91.8678,4648794,,#a78cde
US,Maine,277,44.6939,-69.3819,1344212,,#ffd700
US,Maryland,278,39.0639,-76.8021,6045680,,#bc0c1a
US,Massachusetts,279,42.2302,-71.5301,6949503,,#ee2c2c
US,Michigan,280,43.3266,-84.5361,9986857,,#104e8b
US,Minnesota,281,45.6945,-93.9002,5639632,,#444952
US,Mississippi,282,32.7416,-89.6787,2976149,,#c4b49a
US,Missouri,283,38.4561,-92.2884,6137428,,#29105a
US,Montana,284,46.9219,-110.4544,1068778,,#076d9f
US,Nebraska,285,41.1254,-98.2681,1934408,,#c0c0c0
US,Nevada,286,38.3135,-117.0554,3080156,,#cec8c1
US,New Hampshire,287,43.4525,-71.5639,1359711,,#ebe20a
US,New Jersey,288,40.2989,-74.521,8882190,,#03e0a0
US,New Mexico,289,34.8405,-106.2485,2096829,,#ffce00
US,New York,290,42.1657,-74.9481,19453561,,#98ff98
US,North Carolina,291,35.6301,-79.8064,10488084,,#b23c4e
US,North Dakota,292,47.5289,-99.784,762062,,#b76e79
US,Northern Mariana Islands,293,15.0979,145.6739,55194,,#ca9502
US,Ohio,294,40.3888,-82.7649,11689100,,#8e9088
US,Oklahoma,295,35.5653,-96.9289,3956971,,#595762
US,Oregon,296,44.572,-122.0709,4217737,,#8a8890
US,Pennsylvania,297,40.5908,-77.2098,12801989,,#004f2b
US,Puerto Rico,298,18.2208,-66.5901,3193694,,#283823
US,Rhode Island,299,41.6809,-71.5118,1059361,,#b76e79
US,South Carolina,300,33.8569,-80.945,5148714,,#f2ccc2
US,South Dakota,301,44.2998,-99.4388,884659,,#f2ccc2
US,Tennessee,302,35.7478,-86.6923,6833174,,#c2a4c2
US,Texas,303,31.0545,-97.5635,28995881,,#011c3b
US,Utah,304,40.15,-111.8624,3205958,,#8400ff
US,Vermont,305,44.0459,-72.7107,623989,,#ff8f43
US,Virgin Islands,306,18.3358,-64.8963,104914,,#ff9797
US,Virginia,307,37.7693,-78.17,8535519,,#de2f51
US,Washington,308,47.4009,-121.4905,7614893,,#42284b
US,West Virginia,309,38.4912,-80.9545,1792065,,#779c74
US,Wisconsin,310,44.2685,-89.6165,5822434,,#00ffab
US,Wyoming,311,42.756,-107.3025,578759,,#244c66
US,,312,40.0,-100.0,329527888,,#BF0D3E
Uzbekistan,,313,41.377491,64.585262,34094443,,#004f2b
Venezuela,,314,6.4238,-66.5897,32219521,,#283823
Vietnam,,315,14.058324,108.277199,96208984,,#b76e79
West Bank and Gaza,,316,31.9522,35.2332,4976684,,#f2ccc2
Zambia,,317,-13.133897,27.849332,17381168,,#f2ccc2
Zimbabwe,,318,-19.015438,29.154857,15159624,,#c2a4c2
United Kingdom,Falkland Islands,319,-51.794802,-59.572794,3398,,#011c3b
